,ID,did,seurat_cluster,kmeans_cluster,labels,MOEA,SOEA,PhenoGraph
1933,Cell2034,1,11,14,7,3,5,4
1934,Cell2035,1,11,14,7,3,5,4
1935,Cell2036,1,4,9,13,6,13,1
1936,Cell2038,1,14,8,1,9,8,11
1937,Cell2039,1,10,7,2,10,1,3
1938,Cell2040,1,15,5,8,0,15,7
1939,Cell2042,1,6,6,12,5,14,2
1940,Cell2043,1,2,1,15,13,6,0
1941,Cell2044,1,9,6,14,4,0,14
1942,Cell2045,1,13,16,9,12,11,6
1943,Cell2046,1,2,2,15,13,6,0
1944,Cell2047,1,13,11,9,12,11,6
1945,Cell2048,1,3,12,16,2,7,17
1946,Cell2049,1,3,12,16,2,7,17
1947,Cell2050,1,16,9,6,8,12,11
1948,Cell2051,1,9,6,14,4,0,18
1949,Cell2052,1,11,14,7,3,5,4
1950,Cell2053,1,6,6,12,5,14,2
1951,Cell2054,1,8,10,4,7,9,13
1952,Cell2055,1,7,4,3,1,2,21
1953,Cell2056,1,3,12,16,2,7,15
1954,Cell2057,1,8,10,4,7,9,13
1955,Cell2058,1,6,6,12,5,14,2
1956,Cell2059,1,5,3,5,11,10,20
1957,Cell2060,1,16,9,6,8,12,11
1958,Cell2061,1,3,12,16,2,7,17
1959,Cell2062,1,9,6,14,4,0,18
1960,Cell2063,1,2,2,15,13,6,0
1961,Cell2064,1,4,9,13,6,13,1
1962,Cell2066,1,4,9,6,6,13,1
1963,Cell2067,1,9,6,14,4,0,18
1964,Cell2068,1,10,7,2,10,1,3
1965,Cell2069,1,1,9,10,15,4,16
1966,Cell2070,1,4,9,13,6,13,1
1967,Cell2071,1,11,14,7,3,5,4
1968,Cell2072,1,15,5,6,0,15,7
1969,Cell2073,1,5,3,5,11,10,9
1970,Cell2074,1,1,9,10,15,4,16
1971,Cell2075,1,12,14,11,14,3,5
1972,Cell2076,1,10,7,2,10,1,3
1973,Cell2077,1,13,11,9,12,11,6
1974,Cell2078,1,8,10,4,7,9,19
1975,Cell2079,1,12,14,11,14,3,5
1976,Cell2080,1,5,3,5,11,10,9
1977,Cell2081,1,4,9,13,6,13,1
1978,Cell2082,1,11,14,7,3,5,4
1979,Cell2083,1,14,8,1,9,8,8
1980,Cell2084,1,3,12,16,2,7,17
1981,Cell2085,1,13,16,9,12,11,6
1982,Cell2086,1,9,6,14,4,0,14
1983,Cell2087,1,14,8,1,9,8,8
1984,Cell2088,1,11,14,7,3,5,4
1985,Cell2089,1,14,8,1,9,8,8
1986,Cell2090,1,7,4,3,1,2,21
1987,Cell2091,1,10,7,2,10,1,3
1988,Cell2092,1,1,9,10,15,4,16
1989,Cell2093,1,12,14,11,14,3,5
1990,Cell2094,1,6,6,12,5,14,2
1991,Cell2095,1,1,9,10,15,4,12
1992,Cell2096,1,13,11,9,12,11,6
1993,Cell2097,1,10,7,2,10,1,3
1994,Cell2098,1,6,6,12,5,14,2
1995,Cell2099,1,16,9,6,8,12,11
1996,Cell2100,1,14,8,1,9,8,8
1997,Cell2101,1,14,8,1,9,8,8
1998,Cell2102,1,11,14,7,3,5,4
1999,Cell2103,1,10,7,2,10,1,3
2000,Cell2104,1,6,6,12,5,14,2
2001,Cell2105,1,4,9,13,6,13,1
2002,Cell2106,1,1,9,10,15,4,12
2003,Cell2107,1,5,3,5,11,10,9
2004,Cell2108,1,10,7,2,10,1,3
2005,Cell2109,1,3,12,16,2,7,15
2006,Cell2110,1,15,5,8,0,15,7
2007,Cell2111,1,2,15,15,13,6,0
2008,Cell2112,1,8,10,4,7,9,13
2009,Cell2113,1,6,6,12,5,14,2
2010,Cell2114,1,9,6,14,4,0,14
2011,Cell2115,1,5,3,5,11,10,9
2012,Cell2116,1,15,5,8,0,15,7
2013,Cell2117,1,8,10,4,7,9,13
2014,Cell2118,1,2,2,15,13,6,0
2015,Cell2119,1,10,7,2,10,1,3
2016,Cell2120,1,9,6,14,4,0,14
2017,Cell2121,1,15,5,8,0,15,7
2018,Cell2122,1,8,10,4,7,9,19
2019,Cell2123,1,12,14,11,14,3,5
2020,Cell2124,1,2,2,15,13,6,0
2021,Cell2125,1,8,10,4,7,9,13
2022,Cell2127,1,10,7,2,10,1,3
2023,Cell2128,1,9,6,14,4,0,14
2024,Cell2129,1,14,8,1,9,8,8
2025,Cell2130,1,13,11,9,12,11,6
2026,Cell2131,1,14,8,1,9,8,8
2027,Cell2132,1,4,9,13,6,13,1
2028,Cell2133,1,16,9,6,8,12,11
2029,Cell2134,1,9,6,14,4,0,14
2030,Cell2135,1,16,9,6,8,12,11
2031,Cell2136,1,9,6,14,4,0,18
2032,Cell2137,1,9,6,14,4,0,18
2033,Cell2138,1,6,6,12,5,14,2
2034,Cell2139,1,1,9,10,15,4,16
2035,Cell2140,1,12,14,11,14,3,5
2036,Cell2141,1,5,3,5,11,10,9
2037,Cell2143,1,10,7,2,10,1,3
2038,Cell2144,1,11,14,7,3,5,4
2039,Cell2145,1,11,14,7,3,5,4
2040,Cell2146,1,6,6,12,5,14,2
2041,Cell2147,1,3,12,16,2,7,17
2042,Cell2148,1,8,10,4,7,9,19
2043,Cell2149,1,2,15,6,13,6,0
2044,Cell2150,1,2,1,15,13,6,0
2045,Cell2151,1,8,10,4,7,9,13
2046,Cell2152,1,5,3,5,11,10,9
2047,Cell2153,1,6,6,12,5,14,2
2048,Cell2154,1,11,14,7,3,5,4
2049,Cell2155,1,3,12,16,2,7,15
2050,Cell2157,1,1,9,10,15,4,16
2051,Cell2158,1,12,14,11,14,3,5
2052,Cell2159,1,16,9,6,8,12,11
2053,Cell2160,1,3,12,16,2,7,17
2054,Cell2161,1,13,11,9,12,11,6
2055,Cell2162,1,7,4,3,1,2,21
2056,Cell2163,1,7,4,3,1,2,10
2057,Cell2164,1,11,14,7,3,5,4
2058,Cell2165,1,9,6,14,4,0,14
2059,Cell2166,1,1,9,10,15,4,16
2060,Cell2167,1,7,4,3,1,2,10
2061,Cell2168,1,16,9,6,8,12,11
2062,Cell2169,1,6,6,12,5,14,2
2063,Cell2170,1,5,3,5,11,10,20
2064,Cell2171,1,10,7,2,10,1,3
2065,Cell2172,1,12,14,11,14,3,5
2066,Cell2173,1,11,14,7,3,5,4
2067,Cell2174,1,12,14,11,14,3,5
2068,Cell2175,1,15,5,8,0,15,7
2069,Cell2176,1,12,14,11,14,3,5
2070,Cell2178,1,7,4,3,1,2,21
2071,Cell2179,1,12,14,11,14,3,5
2072,Cell2180,1,14,8,1,9,8,8
2073,Cell2181,1,2,2,15,13,6,0
2074,Cell2182,1,4,9,13,6,13,1
2075,Cell2183,1,1,9,10,15,4,12
2076,Cell2184,1,12,14,11,14,3,5
2077,Cell2185,1,6,6,12,5,14,2
2078,Cell2186,1,2,1,15,13,6,0
2079,Cell2187,1,7,4,3,1,2,10
2080,Cell2188,1,10,7,2,10,1,3
2081,Cell2189,1,12,14,11,14,3,5
2082,Cell2190,1,3,12,16,2,7,17
2083,Cell2191,1,11,14,7,3,5,4
2084,Cell2192,1,3,12,16,2,7,17
2085,Cell2193,1,14,8,1,9,8,8
2086,Cell2194,1,7,4,3,1,2,10
2087,Cell2195,1,10,7,2,10,1,3
2088,Cell2196,1,12,14,11,14,3,5
2089,Cell2197,1,15,5,8,0,15,7
2090,Cell2198,1,2,1,15,13,6,0
2091,Cell2199,1,4,9,13,6,13,1
2092,Cell2200,1,6,6,12,5,14,2
2093,Cell2201,1,13,16,9,12,11,6
2094,Cell2203,1,10,7,2,10,1,3
2095,Cell2204,1,8,10,4,7,9,13
2096,Cell2205,1,2,1,15,13,6,0
2097,Cell2206,1,11,14,7,3,5,4
2098,Cell2207,1,10,7,2,10,1,3
2099,Cell2208,1,9,6,14,4,0,14
2100,Cell2209,1,11,14,7,3,5,4
2101,Cell2210,1,13,16,9,12,11,6
2102,Cell2211,1,3,12,16,2,7,15
2103,Cell2212,1,10,7,2,10,1,3
2104,Cell2213,1,11,14,7,3,5,4
2105,Cell2214,1,16,9,6,8,12,11
2106,Cell2215,1,1,9,6,15,4,16
2107,Cell2216,1,1,9,10,15,4,12
2108,Cell2218,1,3,12,16,2,7,15
2109,Cell2219,1,11,14,7,3,5,4
2110,Cell2220,1,14,8,1,9,8,8
2111,Cell2221,1,8,10,4,7,9,19
2112,Cell2222,1,12,14,11,14,3,5
2113,Cell2223,1,11,14,7,3,5,4
2114,Cell2224,1,14,8,1,9,8,8
2115,Cell2226,1,2,1,15,13,6,0
2116,Cell2227,1,6,6,12,5,14,2
2117,Cell2228,1,16,9,6,8,12,11
2118,Cell2229,1,15,5,8,0,15,7
2119,Cell2230,1,10,7,2,10,1,3
2120,Cell2231,1,10,7,2,10,1,3
2121,Cell2232,1,3,12,16,2,7,15
2122,Cell2233,1,6,6,12,5,14,2
2123,Cell2234,1,12,14,11,14,3,5
2124,Cell2235,1,4,9,13,6,13,1
2125,Cell2236,1,12,14,11,14,3,5
2126,Cell2237,1,1,9,10,15,4,16
2127,Cell2238,1,4,9,13,6,13,1
2128,Cell2239,1,5,3,5,11,10,9
2129,Cell2240,1,14,8,1,9,8,8
2130,Cell2242,1,15,5,8,0,15,7
2131,Cell2243,1,13,11,9,12,11,6
2132,Cell2244,1,14,8,1,9,8,8
2133,Cell2245,1,1,9,10,15,4,12
2134,Cell2246,1,14,8,1,9,8,8
2135,Cell2247,1,1,9,10,15,4,16
2136,Cell2248,1,10,7,2,10,1,3
2137,Cell2249,1,6,6,12,5,14,2
2138,Cell2250,1,15,13,8,0,15,7
2139,Cell2251,1,11,14,7,3,5,4
2140,Cell2252,1,6,6,12,5,14,2
2141,Cell2253,1,10,7,2,10,1,3
2142,Cell2254,1,11,14,7,3,5,4
2143,Cell2255,1,12,14,11,14,3,5
2144,Cell2256,1,6,6,12,5,14,2
2145,Cell2257,1,4,9,13,6,13,1
2146,Cell2258,1,4,9,13,6,13,1
2147,Cell2259,1,9,6,14,4,0,14
2148,Cell2260,1,10,7,2,10,1,3
2149,Cell2261,1,8,10,4,7,9,13
2150,Cell2262,1,16,9,6,8,12,11
2151,Cell2263,1,2,15,15,13,6,0
2152,Cell2264,1,9,6,14,4,0,14
2153,Cell2265,1,8,10,4,7,9,13
2154,Cell2266,1,11,14,7,3,5,4
2155,Cell2267,1,14,8,1,9,8,8
2156,Cell2268,1,4,9,13,6,13,1
2157,Cell2269,1,16,9,6,8,12,11
2158,Cell2270,1,9,6,14,4,0,14
2159,Cell2271,1,14,8,1,9,8,8
2160,Cell2272,1,15,5,8,0,15,7
2161,Cell2273,1,9,6,14,4,0,14
2162,Cell2274,1,16,9,6,15,12,11
2163,Cell2275,1,8,10,4,7,9,19
2164,Cell2276,1,5,3,5,11,10,9
2165,Cell2277,1,13,11,9,12,11,6
2166,Cell2278,1,16,9,13,8,12,11
2167,Cell2279,1,5,3,5,11,10,9
2168,Cell2280,1,16,9,6,15,12,11
2169,Cell2281,1,4,9,13,6,13,1
2170,Cell2282,1,13,16,9,12,11,6
2171,Cell2283,1,1,9,10,15,4,12
2172,Cell2284,1,4,9,13,6,13,1
2173,Cell2285,1,6,6,12,5,14,2
2174,Cell2286,1,9,6,14,4,0,14
2175,Cell2287,1,13,16,9,12,11,6
2176,Cell2288,1,4,9,13,6,13,1
2177,Cell2289,1,10,7,2,10,1,3
2178,Cell2290,1,8,10,4,7,9,19
2179,Cell2292,1,8,10,4,7,9,19
2180,Cell2293,1,3,12,16,2,7,17
2181,Cell2294,1,6,6,12,5,14,2
2182,Cell2295,1,15,5,8,0,15,7
2183,Cell2296,1,1,9,10,15,4,12
2184,Cell2297,1,4,9,13,6,13,1
2185,Cell2298,1,5,3,5,11,10,20
2186,Cell2299,1,6,6,12,5,14,2
2187,Cell2300,1,14,8,1,9,8,8
2188,Cell2302,1,10,7,2,10,1,3
2189,Cell2303,1,11,14,7,3,5,4
2190,Cell2304,1,8,10,4,7,9,13
2191,Cell2305,1,7,4,3,1,2,10
2192,Cell2307,1,1,9,10,15,4,12
2193,Cell2308,1,11,14,7,3,5,4
2194,Cell2310,1,3,12,16,2,7,17
2195,Cell2311,1,14,8,1,9,8,8
2196,Cell2312,1,1,9,6,15,4,16
2197,Cell2313,1,11,14,7,3,5,4
2198,Cell2314,1,4,9,13,6,13,1
2199,Cell2315,1,1,9,10,15,4,12
2200,Cell2316,1,4,9,13,6,13,1
2201,Cell2317,1,6,6,12,5,14,2
2202,Cell2318,1,7,4,3,1,2,10
2203,Cell2319,1,9,6,12,4,0,14
2204,Cell2320,1,4,9,13,6,13,1
2205,Cell2321,1,2,1,15,13,6,0
2206,Cell2322,1,2,15,15,13,6,0
2207,Cell2323,1,10,7,2,10,1,3
2208,Cell2324,1,9,6,14,4,0,14
2209,Cell2326,1,13,11,9,12,11,6
2210,Cell2327,1,12,14,11,14,3,5
2211,Cell2328,1,2,2,15,13,6,0
2212,Cell2329,1,13,16,9,12,11,6
2213,Cell2330,1,14,8,1,9,8,8
2214,Cell2331,1,9,6,14,4,0,14
2215,Cell2332,1,12,14,11,14,3,5
2216,Cell2333,1,14,8,1,9,8,8
2217,Cell2334,1,6,6,12,5,14,2
2218,Cell2335,1,5,3,5,11,10,20
2219,Cell2336,1,4,9,13,6,13,1
2220,Cell2337,1,9,6,14,4,0,18
2221,Cell2338,1,2,2,15,13,6,0
2222,Cell2339,1,14,8,1,9,8,8
2223,Cell2340,1,13,16,9,12,11,6
2224,Cell2341,1,2,15,15,13,6,0
2225,Cell2342,1,16,9,6,8,12,11
2226,Cell2343,1,1,9,10,15,4,12
2227,Cell2344,1,6,6,12,5,14,2
2228,Cell2345,1,6,6,12,5,14,2
2229,Cell2346,1,4,9,13,6,13,1
2230,Cell2347,1,2,15,15,13,6,0
2231,Cell2348,1,12,14,11,14,3,5
2232,Cell2349,1,10,7,2,10,1,3
2233,Cell2350,1,16,9,6,8,12,11
2234,Cell2351,1,11,14,7,3,5,4
2235,Cell2352,1,14,8,1,9,8,8
2236,Cell2353,1,15,13,8,0,15,7
2237,Cell2354,1,7,4,3,1,2,21
2238,Cell2355,1,1,9,10,15,4,12
2239,Cell2356,1,6,6,12,5,14,2
2240,Cell2357,1,8,10,4,7,9,19
2241,Cell2358,1,11,14,7,3,5,4
2242,Cell2359,1,6,6,12,5,14,2
2243,Cell2360,1,16,9,13,6,13,11
2244,Cell2361,1,6,6,12,5,14,2
2245,Cell2362,1,10,7,2,10,1,3
2246,Cell2363,1,15,5,8,0,15,7
2247,Cell2364,1,5,3,5,11,10,9
2248,Cell2365,1,6,6,12,5,14,2
2249,Cell2366,1,7,4,3,1,2,21
2250,Cell2367,1,7,4,3,1,2,10
2251,Cell2368,1,5,3,5,11,10,20
2252,Cell2369,1,7,4,3,1,2,10
2253,Cell2370,1,9,6,14,4,0,18
2254,Cell2371,1,5,3,5,11,10,20
2255,Cell2372,1,8,10,4,7,9,19
2256,Cell2373,1,10,7,2,10,1,3
2257,Cell2374,1,7,4,3,1,2,10
2258,Cell2375,1,11,14,7,3,5,4
2259,Cell2376,1,8,10,4,7,9,13
2260,Cell2377,1,8,10,4,7,9,13
2261,Cell2378,1,11,14,7,3,5,4
2262,Cell2379,1,6,6,12,5,14,2
2263,Cell2380,1,3,12,16,2,7,15
2264,Cell2381,1,4,9,13,6,13,1
2265,Cell2382,1,6,6,12,5,14,2
2266,Cell2383,1,5,3,5,11,10,9
2267,Cell2384,1,7,4,3,1,2,10
2268,Cell2385,1,16,9,6,8,12,11
2269,Cell2386,1,12,14,11,14,3,5
2270,Cell2387,1,12,14,11,14,3,5
2271,Cell2388,1,3,12,16,2,7,17
2272,Cell2389,1,10,7,2,10,1,3
2273,Cell2390,1,15,13,8,0,15,7
2274,Cell2391,1,4,9,13,6,13,1
2275,Cell2392,1,12,14,11,14,3,5
2276,Cell2393,1,14,8,1,9,8,8
2277,Cell2394,1,13,16,9,12,11,6
2278,Cell2395,1,6,6,12,5,14,2
2279,Cell2397,1,12,14,11,14,3,5
2280,Cell2398,1,4,9,6,6,13,1
2281,Cell2399,1,13,11,9,12,11,6
2282,Cell2400,1,3,12,16,2,7,15
2283,Cell2401,1,10,7,2,10,1,3
2284,Cell2402,1,1,9,10,15,4,12
2285,Cell2403,1,8,10,4,7,9,13
2286,Cell2404,1,9,6,14,4,0,18
2287,Cell2405,1,10,7,2,10,1,3
2288,Cell2406,1,4,9,13,6,13,1
2289,Cell2407,1,9,6,14,4,0,14
2290,Cell2409,1,2,2,15,13,6,0
2291,Cell2411,1,11,14,7,3,5,4
2292,Cell2412,1,12,14,11,14,3,5
2293,Cell2413,1,16,9,6,8,12,11
2294,Cell2414,1,15,13,8,0,15,7
2295,Cell2415,1,1,9,10,15,4,12
2296,Cell2416,1,8,10,4,7,9,19
2297,Cell2417,1,2,1,15,13,6,0
2298,Cell2418,1,1,9,10,15,4,12
2299,Cell2419,1,14,8,1,9,8,8
2300,Cell2420,1,13,16,9,12,11,6
2301,Cell2421,1,6,6,12,5,14,2
2302,Cell2422,1,11,14,7,3,5,4
2303,Cell2423,1,7,4,3,1,2,10
2304,Cell2424,1,5,3,5,11,10,9
2305,Cell2425,1,3,12,16,2,7,15
2306,Cell2426,1,13,11,9,12,11,6
2307,Cell2427,1,6,6,12,5,14,2
2308,Cell2428,1,5,3,5,11,10,9
2309,Cell2429,1,14,8,1,9,8,8
2310,Cell2430,1,13,11,9,12,11,6
2311,Cell2431,1,13,16,9,12,11,6
2312,Cell2432,1,11,14,7,3,5,4
2313,Cell2433,1,8,10,4,7,9,13
2314,Cell2434,1,11,14,7,3,5,4
2315,Cell2435,1,7,4,3,1,2,21
2316,Cell2436,1,1,9,10,15,4,16
2317,Cell2437,1,16,9,6,8,12,11
2318,Cell2438,1,2,15,15,13,6,0
2319,Cell2439,1,4,9,13,6,13,1
2320,Cell2440,1,5,3,5,11,10,9
2321,Cell2441,1,11,14,7,3,5,4
2322,Cell2442,1,10,7,2,10,1,3
2323,Cell2443,1,14,8,1,9,8,8
2324,Cell2444,1,5,3,5,11,10,9
2325,Cell2445,1,4,9,13,6,13,1
2326,Cell2446,1,3,12,16,2,7,15
2327,Cell2447,1,9,6,14,4,0,14
2328,Cell2448,1,9,6,14,4,0,14
2329,Cell2449,1,8,10,4,7,9,19
2330,Cell2450,1,10,7,2,10,1,3
2331,Cell2451,1,5,3,5,11,10,20
2332,Cell2452,1,12,14,11,14,3,5
2333,Cell2453,1,16,9,6,8,12,11
2334,Cell2454,1,5,3,5,11,10,9
2335,Cell2455,1,13,11,9,12,11,6
2336,Cell2456,1,7,4,3,1,2,10
2337,Cell2457,1,7,4,6,1,2,21
2338,Cell2458,1,6,6,12,5,14,2
2339,Cell2459,1,4,9,13,6,13,1
2340,Cell2460,1,14,8,1,9,8,8
2341,Cell2461,1,6,6,12,5,14,2
2342,Cell2462,1,7,4,3,1,2,10
2343,Cell2463,1,6,6,12,5,14,2
2344,Cell2464,1,5,3,5,11,10,9
2345,Cell2465,1,7,4,3,1,2,21
2346,Cell2466,1,8,10,4,7,9,13
2347,Cell2467,1,3,12,16,2,7,15
2348,Cell2468,1,4,9,13,6,13,1
2349,Cell2470,1,3,12,16,2,7,17
2350,Cell2471,1,14,8,1,9,8,8
2351,Cell2472,1,14,8,1,9,8,8
2352,Cell2473,1,5,3,5,11,10,9
2353,Cell2474,1,2,1,15,13,6,0
2354,Cell2475,1,15,13,8,0,15,7
2355,Cell2476,1,16,9,6,8,12,11
2356,Cell2477,1,8,10,4,7,9,13
2357,Cell2478,1,7,4,3,1,2,10
2358,Cell2479,1,1,9,10,15,4,12
2359,Cell2480,1,14,8,1,9,8,8
2360,Cell2481,1,15,5,8,0,15,7
2361,Cell2482,1,4,9,13,6,13,1
2362,Cell2483,1,7,4,3,1,2,10
2363,Cell2484,1,12,14,11,14,3,5
2364,Cell2485,1,14,8,1,9,8,8
2365,Cell2486,1,3,12,16,2,7,17
2366,Cell2487,1,5,3,5,11,10,9
2367,Cell2488,1,1,9,10,15,4,16
2368,Cell2489,1,3,12,16,2,7,15
2369,Cell2490,1,4,9,13,6,13,1
2370,Cell2491,1,5,3,5,11,10,9
2371,Cell2492,1,14,8,1,9,8,8
2372,Cell2493,1,2,2,15,13,6,0
2373,Cell2494,1,12,14,11,14,3,5
2374,Cell2495,1,3,12,16,2,7,17
2375,Cell2496,1,10,7,2,10,1,3
2376,Cell2497,1,3,12,16,2,7,15
2377,Cell2498,1,4,9,6,6,13,1
2378,Cell2499,1,6,6,12,5,14,2
2379,Cell2500,1,16,9,6,8,12,11
2380,Cell2501,1,4,9,6,6,13,1
2381,Cell2502,1,13,16,9,12,11,6
2382,Cell2503,1,1,9,10,15,4,12
2383,Cell2504,1,8,10,4,7,9,19
2384,Cell2505,1,11,14,7,3,5,4
2385,Cell2506,1,15,5,8,0,15,7
2386,Cell2507,1,14,8,1,9,8,8
2387,Cell2508,1,11,14,7,3,5,4
2388,Cell2509,1,7,4,3,1,2,10
2389,Cell2510,1,16,9,6,8,12,11
2390,Cell2511,1,13,11,9,12,11,6
2391,Cell2512,1,7,4,3,1,2,10
2392,Cell2513,1,3,12,16,2,7,17
2393,Cell2514,1,13,11,9,12,11,6
2394,Cell2515,1,13,16,9,12,11,6
2395,Cell2516,1,14,8,1,9,8,8
2396,Cell2517,1,14,8,1,9,8,8
2397,Cell2518,1,1,9,10,15,4,16
2398,Cell2519,1,3,12,16,2,7,15
2399,Cell2520,1,13,16,9,12,11,6
2400,Cell2521,1,10,7,2,10,1,3
2401,Cell2522,1,11,14,7,3,5,4
2402,Cell2523,1,1,9,10,15,4,12
2403,Cell2524,1,6,6,12,5,14,2
2404,Cell2525,1,16,9,6,8,12,11
2405,Cell2526,1,3,12,16,2,7,15
2406,Cell2527,1,1,9,10,15,4,16
2407,Cell2529,1,8,10,4,7,9,13
2408,Cell2530,1,14,8,1,9,8,8
2409,Cell2531,1,14,8,1,9,8,8
2410,Cell2532,1,16,9,6,8,12,11
2411,Cell2533,1,3,12,16,2,7,15
2412,Cell2534,1,14,8,1,9,8,8
2413,Cell2535,1,13,11,9,12,11,6
2414,Cell2536,1,14,8,1,9,8,8
2415,Cell2537,1,11,14,7,3,5,4
2416,Cell2538,1,10,7,2,10,1,3
2417,Cell2539,1,12,14,11,14,3,5
2418,Cell2540,1,6,6,12,5,14,2
2419,Cell2541,1,12,14,11,14,3,5
2420,Cell2542,1,12,14,11,14,3,5
2421,Cell2543,1,15,5,8,0,15,7
2422,Cell2544,1,2,15,15,13,6,0
2423,Cell2546,1,10,7,2,10,1,3
2424,Cell2547,1,13,11,9,12,11,6
2425,Cell2548,1,7,4,3,1,2,10
2426,Cell2549,1,16,9,6,8,12,11
2427,Cell2550,1,4,9,13,6,13,1
2428,Cell2551,1,1,9,10,15,4,16
2429,Cell2552,1,9,6,14,4,0,18
2430,Cell2553,1,9,6,14,4,0,14
2431,Cell2554,1,15,5,8,0,15,7
2432,Cell2555,1,7,4,3,1,2,10
2433,Cell2556,1,16,9,6,8,12,11
2434,Cell2557,1,5,3,5,11,10,20
2435,Cell2558,1,11,14,7,3,5,4
2436,Cell2559,1,5,3,5,11,10,9
2437,Cell2560,1,7,4,3,1,2,10
2438,Cell2561,1,1,9,10,15,4,16
2439,Cell2562,1,4,9,13,6,13,1
2440,Cell2563,1,14,8,1,9,8,8
2441,Cell2564,1,10,7,2,10,1,3
2442,Cell2565,1,11,14,7,3,5,4
2443,Cell2566,1,15,13,8,0,15,7
2444,Cell2567,1,2,1,15,13,6,0
2445,Cell2568,1,7,4,3,1,2,10
2446,Cell2569,1,8,10,4,7,9,13
2447,Cell2570,1,2,15,15,13,6,0
2448,Cell2571,1,6,6,12,5,14,2
2449,Cell2572,1,12,14,11,14,3,5
2450,Cell2573,1,2,2,15,13,6,0
2451,Cell2574,1,3,12,16,2,7,15
2452,Cell2575,1,3,12,16,2,7,15
2453,Cell2576,1,1,9,10,15,4,16
2454,Cell2577,1,3,12,16,2,7,15
2455,Cell2578,1,1,9,10,15,4,12
2456,Cell2579,1,2,1,15,13,6,0
2457,Cell2580,1,9,6,14,4,0,18
2458,Cell2581,1,10,7,2,10,1,3
2459,Cell2582,1,14,8,1,9,8,8
2460,Cell2583,1,1,9,10,15,4,16
2461,Cell2585,1,15,13,6,0,15,7
2462,Cell2586,1,10,7,2,10,1,3
2463,Cell2587,1,12,14,11,14,3,5
2464,Cell2588,1,9,6,14,4,0,14
2465,Cell2589,1,9,6,14,4,0,14
2466,Cell2590,1,6,6,12,5,14,2
2467,Cell2591,1,10,7,2,10,1,3
2468,Cell2592,1,1,9,10,15,4,12
2469,Cell2593,1,8,10,4,7,9,19
2470,Cell2594,1,10,7,2,10,1,3
2471,Cell2595,1,9,6,14,4,0,18
2472,Cell2596,1,6,6,12,5,14,2
2473,Cell2597,1,14,8,1,9,8,8
2474,Cell2598,1,6,6,12,5,14,2
2475,Cell2599,1,7,4,3,1,2,10
2476,Cell2600,1,3,12,16,2,7,17
2477,Cell2601,1,4,9,13,6,13,1
2478,Cell2602,1,4,9,13,6,13,1
2479,Cell2603,1,9,6,14,4,0,18
2480,Cell2604,1,11,14,7,3,5,4
2481,Cell2605,1,13,11,9,12,11,6
2482,Cell2606,1,10,7,2,10,1,3
2483,Cell2607,1,9,6,14,4,0,18
2484,Cell2608,1,3,12,16,2,7,17
2485,Cell2609,1,1,9,10,15,4,16
2486,Cell2610,1,13,16,9,12,11,6
2487,Cell2611,1,4,9,13,6,13,1
2488,Cell2612,1,10,7,2,10,1,3
2489,Cell2613,1,2,15,15,13,6,0
2490,Cell2614,1,14,8,1,9,8,8
2491,Cell2615,1,1,9,10,15,4,16
2492,Cell2616,1,14,8,1,9,8,8
2493,Cell2617,1,4,9,13,6,13,1
2494,Cell2618,1,16,9,6,8,12,11
2495,Cell2620,1,3,12,16,2,7,17
2496,Cell2621,1,7,4,3,1,2,21
2497,Cell2622,1,6,6,12,5,14,2
2498,Cell2623,1,3,12,16,2,7,17
2499,Cell2624,1,1,9,10,15,4,16
2500,Cell2625,1,4,9,13,6,13,1
2501,Cell2626,1,6,6,12,5,14,2
2502,Cell2627,1,10,7,2,10,1,3
2503,Cell2628,1,15,5,8,0,15,7
2504,Cell2629,1,11,14,7,3,5,4
2505,Cell2630,1,2,15,15,13,6,0
2506,Cell2631,1,3,12,16,2,7,17
2507,Cell2632,1,8,10,4,7,9,13
2508,Cell2633,1,6,6,12,5,14,2
2509,Cell2634,1,7,4,3,1,2,10
2510,Cell2635,1,3,12,16,2,7,15
2511,Cell2636,1,4,9,6,6,13,1
2512,Cell2637,1,3,12,16,2,7,15
2513,Cell2638,1,11,14,7,3,5,4
2514,Cell2639,1,2,2,15,13,6,0
2515,Cell2640,1,13,11,9,12,11,6
2516,Cell2641,1,5,3,5,11,10,9
2517,Cell2642,1,6,6,12,5,14,2
2518,Cell2643,1,13,11,9,12,11,6
2519,Cell2644,1,15,13,8,0,15,7
2520,Cell2645,1,11,14,7,3,5,4
2521,Cell2646,1,2,1,15,13,6,0
2522,Cell2647,1,3,12,16,2,7,15
2523,Cell2648,1,5,3,5,11,10,9
2524,Cell2649,1,3,12,16,2,7,15
2525,Cell2650,1,5,3,5,11,10,9
2526,Cell2651,1,13,11,9,12,11,6
2527,Cell2652,1,10,7,2,10,1,3
2528,Cell2653,1,2,15,15,13,6,0
2529,Cell2654,1,2,2,15,13,6,0
2530,Cell2655,1,10,7,2,10,1,3
2531,Cell2656,1,16,9,6,8,12,11
2532,Cell2657,1,4,9,13,6,13,1
2533,Cell2658,1,4,9,13,6,13,1
2534,Cell2659,1,6,6,12,5,14,2
2535,Cell2660,1,1,9,10,15,4,16
2536,Cell2662,1,6,6,12,5,14,2
2537,Cell2663,1,4,9,6,6,13,11
2538,Cell2664,1,2,15,15,13,6,0
